Epoch,LPSL,CE,LPS,HVP
1,0.8965,1.1664,0.1553,-8.6955
2,0.2417,0.6419,0.0706,-8.9537
3,0.0843,0.5141,0.0506,-9.0163
4,0.0106,0.4503,0.0433,-9.0469
5,-0.0459,0.4023,0.0375,-9.0643
6,-0.0906,0.3664,0.0313,-9.0823
7,-0.1268,0.3345,0.0285,-9.0965
8,-0.1454,0.3173,0.0271,-9.1008
9,-0.1622,0.3028,0.0256,-9.098
10,-0.1873,0.2806,0.0235,-9.1076
11,-0.1928,0.2759,0.0227,-9.1106
12,-0.2223,0.2508,0.0197,-9.1259
13,-0.2388,0.2375,0.0176,-9.131
14,-0.2446,0.232,0.0171,-9.1284
15,-0.2651,0.2137,0.0156,-9.1373
16,-0.2672,0.2107,0.0161,-9.1349
17,-0.2769,0.2036,0.0142,-9.1388
18,-0.2908,0.1907,0.0135,-9.1416
19,-0.2958,0.1858,0.0135,-9.1445
20,-0.3138,0.1692,0.0124,-9.1455
